entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-06 09:38:00,2026-01-06 09:38:29,2026-01,2026-01-06,9,sell,0.01,4456.156,4455.216,0.94,29.94,0.48333333333333334,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4455.227,0.930600000000004
2026-01-06 09:41:00,2026-01-06 09:41:30,2026-01,2026-01-06,9,sell,0.01,4456.139,4456.006,0.13,30.07,0.5,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4456.003,0.1286700000000019
2026-01-06 09:46:01,2026-01-06 09:46:08,2026-01,2026-01-06,9,sell,0.01,4453.836,4452.765,1.07,31.14,0.11666666666666667,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4452.792,1.059290000000001
2026-01-06 10:25:00,2026-01-06 10:25:55,2026-01,2026-01-06,10,sell,0.01,4450.047,4450.006,0.04,31.18,0.9166666666666666,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4449.997,0.039590000000007425
2026-01-06 10:29:00,2026-01-06 10:29:46,2026-01,2026-01-06,10,sell,0.01,4449.046,4450.109,-1.06,30.12,0.7666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.049369999999999
2026-01-06 10:50:00,2026-01-06 10:51:39,2026-01,2026-01-06,10,sell,0.01,4451.174,4450.753,0.42,30.54,1.65,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4450.736,0.4157899999999972
2026-01-06 10:53:00,2026-01-06 10:53:57,2026-01,2026-01-06,10,sell,0.01,4450.67,4451.772,-1.1,29.44,0.95,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0889800000000014
2026-01-06 11:14:00,2026-01-06 11:16:08,2026-01,2026-01-06,11,sell,0.01,4451.083,4450.082,1.0,30.44,2.1333333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4450.121,0.989990000000007
2026-01-07 11:22:00,2026-01-07 11:24:08,2026-01,2026-01-07,11,sell,0.01,4461.135,4460.048,1.09,31.53,2.1333333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4460.064,1.0791299999999957
2026-01-07 11:31:00,2026-01-07 11:32:27,2026-01,2026-01-07,11,sell,0.01,4458.512,4458.035,0.47,32.0,1.45,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4458.031,0.46523000000000136
2026-01-07 11:42:00,2026-01-07 11:42:06,2026-01,2026-01-07,11,sell,0.01,4453.385,4452.022,1.37,33.37,0.1,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4452.074,1.3563699999999972
2026-01-07 11:50:00,2026-01-07 11:50:55,2026-01,2026-01-07,11,sell,0.01,4450.551,4452.229,-1.68,31.69,0.9166666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.663220000000001
2026-01-07 11:54:00,2026-01-07 11:54:19,2026-01,2026-01-07,11,sell,0.01,4450.6,4452.117,-1.52,30.17,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.5048300000000017
2026-01-08 09:23:00,2026-01-08 09:26:01,2026-01,2026-01-08,9,sell,0.01,4427.282,4428.825,-1.55,28.62,3.0166666666666666,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.5345700000000033
2026-01-08 10:29:00,2026-01-08 10:29:40,2026-01,2026-01-08,10,sell,0.01,4424.039,4425.313,-1.27,27.35,0.6666666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.2572599999999965
2026-01-08 11:21:01,2026-01-08 11:21:05,2026-01,2026-01-08,11,sell,0.01,4428.606,4428.811,-0.2,27.15,0.06666666666666667,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.19795000000000074
2026-01-09 10:41:00,2026-01-09 10:41:15,2026-01,2026-01-09,10,sell,0.01,4470.449,4470.416,0.03,27.18,0.25,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4470.399,0.02967000000000553
2026-01-09 10:44:00,2026-01-09 10:45:00,2026-01,2026-01-09,10,sell,0.01,4470.159,4469.131,1.03,28.21,1.0,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4469.173,1.0197200000000066
2026-01-09 10:51:00,2026-01-09 10:52:53,2026-01,2026-01-09,10,sell,0.01,4468.496,4469.376,-0.88,27.33,1.8833333333333333,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4469.346,0.8711999999999989
2026-01-09 11:36:00,2026-01-09 11:38:03,2026-01,2026-01-09,11,sell,0.01,4470.463,4469.736,0.72,28.05,2.05,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4469.757,0.7127300000000013
2026-01-09 11:46:00,2026-01-09 11:46:09,2026-01,2026-01-09,11,sell,0.01,4470.199,4469.232,0.97,29.02,0.15,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4469.253,0.9603300000000036
2026-01-12 11:32:00,2026-01-12 11:32:43,2026-01,2026-01-12,11,sell,0.01,4585.985,4587.237,-1.25,27.77,0.7166666666666667,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.237479999999996
2026-01-13 10:00:00,2026-01-13 10:00:14,2026-01,2026-01-13,10,sell,0.01,4586.188,4585.923,0.27,28.04,0.23333333333333334,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4585.876,0.26734999999999676
2026-01-13 10:03:00,2026-01-13 10:03:19,2026-01,2026-01-13,10,sell,0.01,4586.333,4585.358,0.97,29.01,0.31666666666666665,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4585.390,0.9602500000000054
2026-01-13 10:11:01,2026-01-13 10:11:02,2026-01,2026-01-13,10,sell,0.01,4583.205,4582.061,1.15,30.16,0.016666666666666666,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4582.070,1.1385599999999976
2026-01-13 10:16:00,2026-01-13 10:17:18,2026-01,2026-01-13,10,sell,0.01,4582.347,4581.117,1.23,31.39,1.3,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4581.167,1.2177000000000044
2026-01-13 10:31:00,2026-01-13 10:31:18,2026-01,2026-01-13,10,sell,0.01,4582.091,4583.294,-1.2,30.19,0.3,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.1879700000000049
2026-01-13 10:35:00,2026-01-13 10:35:49,2026-01,2026-01-13,10,sell,0.01,4583.309,4582.895,0.41,30.6,0.8166666666666667,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4582.876,0.4058600000000024
2026-01-13 11:15:00,2026-01-13 11:15:57,2026-01,2026-01-13,11,sell,0.01,4584.584,4583.754,0.83,31.43,0.95,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4583.768,0.8217000000000007
2026-01-13 11:19:00,2026-01-13 11:19:49,2026-01,2026-01-13,11,sell,0.01,4584.543,4584.2,0.34,31.77,0.8166666666666667,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4584.187,0.33657000000000153
2026-01-13 11:22:00,2026-01-13 11:22:53,2026-01,2026-01-13,11,sell,0.01,4584.776,4585.89,-1.11,30.66,0.8833333333333333,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0988599999999953
2026-01-14 09:54:00,2026-01-14 09:55:04,2026-01,2026-01-14,9,sell,0.01,4629.034,4630.314,-1.28,29.38,1.0666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.2671999999999934
2026-01-14 10:11:00,2026-01-14 10:12:07,2026-01,2026-01-14,10,sell,0.01,4629.638,4630.655,-1.02,28.36,1.1166666666666667,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.0098300000000018
2026-01-14 11:49:00,2026-01-14 11:49:32,2026-01,2026-01-14,11,sell,0.01,4630.114,4629.083,1.03,29.39,0.5333333333333333,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4629.086,1.0196900000000004
2026-01-14 11:59:00,2026-01-14 11:59:08,2026-01,2026-01-14,11,sell,0.01,4628.296,4629.344,-1.04,28.35,0.13333333333333333,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4629.323,1.0295200000000022
2026-01-15 09:25:00,2026-01-15 09:25:19,2026-01,2026-01-15,9,sell,0.01,4602.604,4603.67,-1.07,27.28,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.059340000000002
2026-01-16 09:00:00,2026-01-16 09:00:26,2026-01,2026-01-16,9,sell,0.01,4602.947,4604.142,-1.19,26.09,0.43333333333333335,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.178050000000003
2026-01-16 09:23:00,2026-01-16 09:23:13,2026-01,2026-01-16,9,sell,0.01,4603.69,4603.642,0.05,26.14,0.21666666666666667,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4603.640,0.04952000000000226
2026-01-16 09:31:02,2026-01-16 09:31:43,2026-01,2026-01-16,9,sell,0.01,4600.613,4600.529,0.08,26.22,0.6833333333333333,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4600.525,0.07916000000000167
2026-01-16 09:39:01,2026-01-16 09:39:15,2026-01,2026-01-16,9,sell,0.01,4599.701,4599.67,0.03,26.25,0.23333333333333334,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4599.651,0.029690000000000508
2026-01-16 09:50:00,2026-01-16 09:50:02,2026-01,2026-01-16,9,sell,0.01,4601.634,4600.737,0.89,27.14,0.03333333333333333,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4600.779,0.8810300000000006
2026-01-16 09:53:00,2026-01-16 09:54:53,2026-01,2026-01-16,9,sell,0.01,4601.015,4600.914,0.11,27.25,1.8833333333333333,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4600.887,0.10898999999999433
2026-01-16 09:57:00,2026-01-16 09:59:24,2026-01,2026-01-16,9,sell,0.01,4601.083,4600.898,0.18,27.43,2.4,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4600.887,0.17815000000000508
2026-01-16 10:00:00,2026-01-16 10:00:18,2026-01,2026-01-16,10,sell,0.01,4600.483,4601.382,-0.9,26.53,0.3,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4601.367,0.8910100000000057
2026-01-19 10:30:00,2026-01-19 10:30:13,2026-01,2026-01-19,10,sell,0.01,4665.909,4665.003,0.91,27.44,0.21666666666666667,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4665.013,0.9009400000000005
2026-01-19 10:34:00,2026-01-19 10:35:58,2026-01,2026-01-19,10,sell,0.01,4666.279,4665.935,0.34,27.78,1.9666666666666666,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4665.916,0.3365599999999995
2026-01-19 10:37:00,2026-01-19 10:38:31,2026-01,2026-01-19,10,sell,0.01,4665.176,4666.309,-1.13,26.65,1.5166666666666666,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4666.285,1.1186700000000018
2026-01-19 10:40:02,2026-01-19 10:41:01,2026-01,2026-01-19,10,sell,0.01,4664.905,4663.647,1.26,27.91,0.9833333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4663.742,1.247420000000002
2026-01-19 10:58:00,2026-01-19 10:59:23,2026-01,2026-01-19,10,sell,0.01,4665.14,4663.983,1.16,29.07,1.3833333333333333,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4663.998,1.1484299999999983
2026-01-19 11:03:00,2026-01-19 11:03:15,2026-01,2026-01-19,11,sell,0.01,4663.696,4662.863,0.84,29.91,0.25,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4662.885,0.8316700000000037
2026-01-19 11:06:00,2026-01-19 11:06:25,2026-01,2026-01-19,11,sell,0.01,4663.6,4663.481,0.12,30.03,0.4166666666666667,manual/exit_profit,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.11880999999999403
2026-01-19 11:16:00,2026-01-19 11:17:41,2026-01,2026-01-19,11,sell,0.01,4664.361,4664.139,0.22,30.25,1.6833333333333333,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4664.102,0.21778000000000247
2026-01-19 11:19:00,2026-01-19 11:19:44,2026-01,2026-01-19,11,sell,0.01,4662.735,4662.503,0.24,30.49,0.7333333333333333,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4662.479,0.23768000000000028
2026-01-19 11:23:00,2026-01-19 11:23:44,2026-01,2026-01-19,11,sell,0.01,4663.012,4663.922,-0.91,29.58,0.7333333333333333,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4663.862,0.9009000000000015
2026-01-19 11:40:00,2026-01-19 11:40:41,2026-01,2026-01-19,11,sell,0.01,4663.597,4662.629,0.97,30.55,0.6833333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4662.660,0.9603200000000015
2026-01-19 11:50:00,2026-01-19 11:52:11,2026-01,2026-01-19,11,sell,0.01,4662.554,4662.499,0.05,30.6,2.183333333333333,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4662.492,0.049449999999997094
