preset,note,report_path,tester_log,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
baseline_champion,Current v6 default champion.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_baseline_champion_XAUUSDc_M15_20251018_20260415.htm,,132.66,132.66,1.09,0.13,1046,54.02,57.66,59.19
low_buy_rr125,Compress TP only for low-score buys.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_low_buy_rr125_XAUUSDc_M15_20251018_20260415.htm,,110.4,110.4,1.09,0.11,1038,53.08,57.11,58.67
high_buy_impulsive,High-score buys must come from impulsive BOS.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_high_buy_impulsive_XAUUSDc_M15_20251018_20260415.htm,,154.49,154.49,1.11,0.15,1018,54.91,48.03,50.0
buy_break_036,Stronger buy break distance threshold.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_buy_break_036_XAUUSDc_M15_20251018_20260415.htm,,136.13,136.13,1.1,0.13,1037,54.29,56.73,58.31
buy_break_042,Very strong buy break distance threshold.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_buy_break_042_XAUUSDc_M15_20251018_20260415.htm,,137.53,137.53,1.11,0.14,1017,54.47,52.84,54.54
low_buy_rr125_impulsive,Low-score buy TP compression plus impulsive high-score buy.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_low_buy_rr125_impulsive_XAUUSDc_M15_20251018_20260415.htm,,122.07,122.07,1.1,0.12,1004,54.28,50.0,51.9
low_buy_rr125_break036,Low-score buy TP compression plus stronger break threshold.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_low_buy_rr125_break036_XAUUSDc_M15_20251018_20260415.htm,,127.13,127.12999999999998,1.1,0.12,1037,54.29,57.57,59.11
high_buy_rr280,Extend TP on strongest buys.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_high_buy_rr280_XAUUSDc_M15_20251018_20260415.htm,,71.96,71.96,1.06,0.07,1041,52.83,63.0,64.72
high_buy_rr280_lowrr,Extend strong-buy TP and compress weak-buy TP.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_high_buy_rr280_lowrr_XAUUSDc_M15_20251018_20260415.htm,,81.24,81.24,1.07,0.08,1034,53.19,61.4,63.2
boost_min_90,Reserve boosted RR for stronger trend scores only.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_boost_min_90_XAUUSDc_M15_20251018_20260415.htm,,97.68,97.68,1.08,0.09,1040,52.98,55.07,56.71
trend_toxic_8_10,Block the two worst recent trend hours globally.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_trend_toxic_8_10_XAUUSDc_M15_20251018_20260415.htm,,202.91,202.91000000000003,1.16,0.2,993,54.18,40.96,42.24
trend_toxic_7_8_10,Block the three worst recent buy hours globally.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_trend_toxic_7_8_10_XAUUSDc_M15_20251018_20260415.htm,,232.91,232.91,1.19,0.24,960,54.37,33.62,37.48
cooldown_2bars,Longer cooldown to reduce cluster re-entry after losses.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_cooldown_2bars_XAUUSDc_M15_20251018_20260415.htm,,79.8,79.8,1.08,0.08,984,53.66,57.93,60.38
sell_mult_100,Restore full sell multiplier after score-85 cut.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_sell_mult_100_XAUUSDc_M15_20251018_20260415.htm,,141.09,141.09,1.1,0.14,1045,54.07,57.21,58.77
sell_mult_075,Tame all remaining sells slightly.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_sell_mult_075_XAUUSDc_M15_20251018_20260415.htm,,127.55,127.55000000000001,1.09,0.12,1046,54.02,58.21,59.73
sideways_half,Reduce sideways risk participation.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_sideways_half_XAUUSDc_M15_20251018_20260415.htm,,108.48,108.48,1.09,0.09,1196,51.25,58.34,59.65
sideways_off,Disable sideways participation entirely.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_sideways_off_XAUUSDc_M15_20251018_20260415.htm,,88.34,88.34,1.1,0.16,537,51.77,55.36,56.99
dailycap_5_3,Tighten daily caps back down.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_round2_dailycap_5_3_XAUUSDc_M15_20251018_20260415.htm,,75.74,75.74,1.07,0.08,966,52.38,59.82,61.28
